ref,content,piece,melody,year,instrument,performer,,location,collector,notes,comments,archive,file,kivike,order
"RKM, Mgn. II 2629 i","Valss ""Celita""",,,1974,kapell,"kapell, Arnold Kask",,Tartu-Maarja khk.,A. Kavald,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2629--i)--valss_Celita__kapell.mp3,,41872
"RKM, Mgn. II 2630 l",Polka,,,1972,lõõts,Artur Ling,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2630--l)--Polka__loots.mp3,,41873
"RKM, Mgn. II 2630 m",Valss,,,1972,lõõts,Aru Madis,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2630--m)--Pill_ulatatakse_edasi__Valss__loots.mp3,,41874
"RKM, Mgn. II 2630 n",Polka,,,1972,lõõts,Aru Madis,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2630--n)--Polka__loots.mp3,,41875
"RKM, Mgn. II 2630 o",Polka + vestl.,,,1972,lõõts,Aru Madis,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2630--o)--Polka__loots_vestl.mp3,,41876
"RKM, Mgn. II 2631 a",Vana Muhu pulma valss,,,1974,lõõts,Matvei Auväärt,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2631--a)--Vana_Muhu_pulmavalss__loots.mp3,K0,41877
"RKM, Mgn. II 2631 b",Polka,,,1974,lõõts,Matvei Auväärt,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2631--b)--Polka__loots.mp3,K0,41878
"RKM, Mgn. II 2631 c",Krakovjakk + vestl.,,,1974,lõõts,Matvei Auväärt,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2631--c)--Krakovjakk__loots_vestl.mp3,K0,41879
"RKM, Mgn. II 2631 e",Muhu labajalg,,,1974,lõõts,Matvei Auväärt,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2631--e)--Muhu_labajalg__loots.mp3,K0,41880
"RKM, Mgn. II 2631 f",Uisumeeste polka,,,1974,lõõts,Matvei Auväärt,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2631--f)--Uisumeeste_polka__loots.mp3,K0,41881
"RKM, Mgn. II 2631 g",Valss,,,1974,lõõts,Matvei Auväärt,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2631--g)--Valss__loots.mp3,K0,41882
"RKM, Mgn. II 2631 h",Polka,,,1974,lõõts,Matvei Auväärt,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2631--h)--Polka__loots.mp3,K0,41883
"RKM, Mgn. II 2631 j",Padespaan,,,1974,lõõts,Matvei Auväärt,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2631--j)--Padespaan__loots.mp3,K0,41884
"RKM, Mgn. II 2631 k",Vanaaegne tants - vengerka,,,1974,lõõts,Matvei Auväärt,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2631--k)--Vanaaegne_tants_vengerka__loots.mp3,K0,41885
"RKM, Mgn. II 2631 l",Takalaetud - papiljon + vestl.,,,1974,lõõts,Matvei Auväärt,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2631--l)--Takalaetud-papiljon__loots_vestl.mp3,K0,41886
"RKM, Mgn. II 2631 m",Valss,,,1974,lõõts,Matvei Auväärt,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2631--m)--Valss__loots.mp3,K0,41887
"RKM, Mgn. II 2631 n",Polka,,,1974,lõõts,Matvei Auväärt,,Muhu khk.,Aino Strutzkin,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2631--n)--Polka__loots.mp3,K0,41888
"RKM, Mgn. II 2633 a",Aleksandre valss,Aleksandra valss,,1972,lõõts,Aleksei Ojaperv,,Setumaa,Ingrid Rüütel,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2633--a)--Aleksandre_valss__loots.mp3,K1,41889
"RKM, Mgn. II 2633 b",Setu kargus,,,1972,lõõts,Aleksei Ojaperv,,Setumaa,Ingrid Rüütel,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2633--b)--Setu_kargus__loots.mp3,,41890
"RKM, Mgn. II 2633 c",Sepp,,,1972,lõõts,Aleksei Ojaperv,,Setumaa,Ingrid Rüütel,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2633--c)--sepp__loots.mp3,,41891
"RKM, Mgn. II 2633 d",Polka,,,1972,lõõts,Aleksei Ojaperv,,Setumaa,Ingrid Rüütel,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2633--d)--polka__loots.mp3,,41892
"RKM, Mgn. II 2633 e",Tsuska tädile,,,1972,lõõts,Aleksei Ojaperv,,Setumaa,Ingrid Rüütel,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2633--e)--tsuska_tadile__loots.mp3,,41893
"RKM, Mgn. II 2633 f",Kümme tinga hõpõraha,,,1972,lõõts,Aleksei Ojaperv,,Setumaa,Ingrid Rüütel,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2633--f)--kymme_tinga_hoporaha__loots.mp3,,41894
"RKM, Mgn. II 2633 g",Karobuška,,,1972,lõõts,Aleksei Ojaperv,,Setumaa,Ingrid Rüütel,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2633--g)--karobuska__loots.mp3,,41895
"RKM, Mgn. II 2633 h",Kaarasimm,,,1972,lõõts,Aleksei Ojaperv,,Setumaa,Ingrid Rüütel,,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2633--h)--kaarasimm__loots.mp3,,41896
"RKM, Mgn. II 2643 a",Valts (lugu 1912. aastast),,,1974,lõõts,Joosep Arumäe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2643--a)--valts__loots.mp3,K0,41897
"RKM, Mgn. II 2643 b","Polka ( + selet, omalooming)",,,1974,lõõts,Joosep Arumäe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2643--b)--polka__loots.mp3,K0,41898
"RKM, Mgn. II 2643 c",Labajalavalss (+ sõnad),,,1974,lõõts,Joosep Arumäe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2643--c)--labajalavalss__loots.mp3,K0,41899
"RKM, Mgn. II 2643 e",Varjaag,,,1974,lõõts,Joosep Arumäe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2643--e)--varjaag__loots.mp3,K0,41900
"RKM, Mgn. II 2643 f",Kas mäletad kallim - valss,,,1974,lõõts,Joosep Arumäe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2643--f)--valss__loots.mp3,K0,41901
"RKM, Mgn. II 2643 g",Polka (Hännametsa polka Kesselaiult),,,1974,lõõts,Joosep Arumäe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2643--g)--polka__loots.mp3,K0,41902
"RKM, Mgn. II 2643 i",Torupillilugu (lõõtsal),,,1974,lõõts,Joosep Arumäe,,Muhu khk.,"Ingrid Rüütel, O. Kiis",,,"RKM, Mgn. II",RKM_Mgn_II/Vahemikust__2001-3000/M2-2643--i)--torupillilugu__loots.mp3,K0,41903
